timestamp,X,Y,Speed,Heading,AgentCount,Density,Acc,LevelOfCrowdness,label,label2,Severity_level
0:25:42,0.3176,19.6017,0.5721,88.7577,215,2.15,0.0184,3,0,normal,0
0:25:43,0.3347,19.6176,0.5887,89.9442,219,2.19,0.0187,3,0,normal,0
0:25:44,0.3321,19.7411,0.584,89.9685,223,2.23,-0.0243,3,0,normal,0
0:25:45,0.3124,19.9472,0.5694,90.4757,227,2.27,-0.0129,3,0,normal,0
0:25:46,0.3117,20.1386,0.5683,88.9879,227,2.27,0.0007,3,0,normal,0
0:25:47,0.3204,20.0535,0.5985,89.7164,230,2.3,0.0393,3,0,normal,0
0:25:48,0.3017,20.0374,0.6203,90.4348,232,2.32,0.0257,3,0,normal,0
0:25:49,0.307,20.0781,0.6225,90.0135,233,2.33,0.0137,3,0,normal,0
0:25:50,0.3194,20.1178,0.6128,89.768,236,2.36,-0.0069,3,0,normal,0
0:25:51,0.3315,20.1736,0.5975,90.4802,236,2.36,0.0003,3,0,normal,0
0:25:52,0.3376,20.2075,0.5883,90.612,232,2.32,0.0085,3,0,normal,0
0:25:53,0.3285,20.0311,0.598,90.0027,231,2.31,0.0274,3,0,normal,0
0:25:54,0.3116,20.0017,0.5968,89.7749,235,2.35,0.0048,3,0,normal,0
0:25:55,0.3266,19.9699,0.5879,88.6493,237,2.37,-0.0016,3,0,normal,0
0:25:56,0.3276,20.023,0.5968,89.1918,237,2.37,0.0156,3,0,normal,0
0:25:57,0.3415,20.2136,0.6065,90.3897,238,2.38,0.0155,3,0,normal,0
0:25:58,0.3179,20.208,0.6135,90.1905,240,2.4,0.0118,3,0,normal,0
0:25:59,0.3084,20.1197,0.617,90.1001,238,2.38,0.0137,3,0,normal,0
0:26:00,0.3157,20.1439,0.5823,89.6101,239,2.39,,3,0,normal,0
0:26:01,0.3145,20.233,0.5807,89.2282,240,2.4,0.0055,3,0,normal,0
0:26:02,0.2875,20.1613,0.5816,89.6025,237,2.37,0.008,3,0,normal,0
0:26:03,0.2915,20.1986,0.5606,89.366,239,2.39,-0.0099,3,0,normal,0
