timestamp,X,Y,Speed,Heading,AgentCount,Density,Acc,LevelOfCrowdness,label,label2,Severity_level
0:00:18,1.9667,11.4905,1.3762,92.6261,1,0.01,0.0,1,0,normal,0
0:00:19,0.4436,11.6708,1.3101,89.5124,4,0.04,,1,0,normal,0
0:00:20,0.6407,12.5061,1.2761,86.7991,5,0.05,-0.0052,1,0,normal,0
0:00:21,0.5888,13.3724,1.2787,88.6682,6,0.06,-0.0023,1,0,normal,0
0:00:22,0.2541,14.1289,1.2759,90.2454,7,0.07,0.0085,1,0,normal,0
0:00:23,0.2687,13.8685,1.2483,89.5144,11,0.11,0.0017,1,0,normal,0
0:00:24,0.2309,14.2411,1.2426,89.5989,14,0.14,0.0,1,0,normal,0
0:00:25,0.2798,15.167,1.2331,88.5649,15,0.15,-0.0135,1,0,normal,0
0:00:26,0.2887,15.8117,1.2441,89.0159,17,0.17,0.0001,1,0,normal,0
0:00:27,0.2357,16.7265,1.254,89.1907,18,0.18,0.0041,1,0,normal,0
0:00:28,0.2511,17.9701,1.251,89.1687,18,0.18,-0.003,1,0,normal,0
0:00:29,0.3604,18.3991,1.2216,89.4315,20,0.2,-0.0035,1,0,normal,0
0:00:30,0.3696,19.5885,1.221,89.753,20,0.2,-0.0006,1,0,normal,0
0:00:31,0.391,20.3403,1.2255,89.4728,21,0.21,0.0013,1,0,normal,0
0:00:32,0.4079,21.5289,1.2295,89.3962,21,0.21,0.004,1,0,normal,0
0:00:33,0.2952,20.4082,1.1783,88.1049,24,0.24,0.0025,1,0,normal,0
0:00:34,0.2945,20.6705,1.1617,87.9593,24,0.24,0.0068,1,0,normal,0
0:00:35,0.238,20.1991,1.1596,88.6305,26,0.26,0.0074,1,0,normal,0
0:00:36,0.2373,19.2611,1.1364,88.3271,30,0.3,0.0061,1,0,normal,0
0:00:37,0.206,18.0432,1.1136,88.6381,34,0.34,0.0027,1,0,normal,0
0:00:38,0.2673,17.6828,1.1121,89.6679,38,0.38,-0.0002,1,0,normal,0
0:00:39,0.2612,17.3416,1.0917,89.8507,40,0.4,-0.0185,1,0,normal,0
0:00:40,0.3549,17.3704,1.0805,89.7416,43,0.43,-0.0034,1,0,normal,0
0:00:41,0.276,16.8304,1.0414,89.8266,44,0.44,-0.0166,1,0,normal,0
0:00:42,0.2885,16.7784,1.0167,90.1123,45,0.45,-0.0182,1,0,normal,0
0:00:43,0.2849,16.8724,1.0071,91.244,45,0.45,-0.0144,1,0,normal,0
0:00:44,0.3638,17.2797,1.0293,91.001,46,0.46,0.007,1,0,normal,0
0:00:45,0.3554,18.2871,1.0394,90.4069,46,0.46,0.0101,1,0,normal,0
0:00:46,0.2684,18.1352,1.043,89.0473,51,0.51,-0.0061,1,0,normal,0
0:00:47,0.279,18.2891,1.0508,89.4259,57,0.57,-0.0002,1,0,normal,0
0:00:48,0.289,18.6765,1.0575,90.219,59,0.59,0.0056,1,0,normal,0
0:00:49,0.3564,19.2357,1.0535,89.816,60,0.6,-0.0013,1,0,normal,0
0:00:50,0.3541,19.4321,1.048,89.1981,66,0.66,-0.0049,1,0,normal,0
0:00:51,0.3743,20.1715,1.0564,88.6098,68,0.68,0.0063,1,0,normal,0
0:00:52,0.4083,20.9018,1.0517,88.4486,68,0.68,-0.0074,1,0,normal,0
0:00:53,0.41,21.3381,1.0348,89.522,68,0.68,-0.0075,1,0,normal,0
0:00:54,0.4672,21.9205,1.0357,89.3266,67,0.67,0.0029,1,0,normal,0
0:00:55,0.3972,21.7426,1.0327,89.6585,65,0.65,0.0073,1,0,normal,0
0:00:56,0.4485,21.8244,1.0174,89.7304,63,0.63,0.0018,1,0,normal,0
0:00:57,0.3864,21.9828,1.0243,89.3913,64,0.64,0.0072,1,0,normal,0
0:00:58,0.4035,22.0872,1.0322,88.7809,60,0.6,0.0144,1,0,normal,0
0:00:59,0.4228,21.5941,1.0486,88.746,59,0.59,0.0189,1,0,normal,0
0:01:00,0.3779,21.5776,1.048,90.051,57,0.57,0.0139,1,0,normal,0
0:01:01,0.3715,20.9999,1.0391,90.5725,56,0.56,0.0138,1,0,normal,0
0:01:02,0.3856,21.0822,1.035,91.2193,55,0.55,0.0035,1,0,normal,0
0:01:03,0.3789,20.9549,1.0172,91.2468,55,0.55,0.0057,1,0,normal,0
0:01:04,0.3404,20.1327,1.0099,90.4495,57,0.57,-0.0025,1,0,normal,0
0:01:05,0.373,19.8864,1.0216,90.0405,58,0.58,0.009,1,0,normal,0
0:01:06,0.3492,20.0127,1.0114,89.6504,59,0.59,-0.0066,1,0,normal,0
0:01:07,0.3185,20.3345,1.0022,89.6393,61,0.61,-0.0086,1,0,normal,0
0:01:08,0.3221,20.6437,1.0054,89.6241,61,0.61,0.0096,1,0,normal,0
0:01:09,0.3949,20.9682,1.0116,89.5551,61,0.61,0.0061,1,0,normal,0
0:01:10,0.4054,21.2606,1.0357,90.2791,63,0.63,0.0166,1,0,normal,0
0:01:11,0.4377,20.9687,1.0382,90.4998,57,0.57,0.0085,1,0,normal,0
0:01:12,0.3974,20.9143,1.0438,89.3915,55,0.55,0.0109,1,0,normal,0
0:01:13,0.3967,20.6403,1.0524,88.779,52,0.52,0.0162,1,0,normal,0
0:01:14,0.3656,20.8893,1.066,88.9867,52,0.52,0.017,1,0,normal,0
0:01:15,0.3569,20.7767,1.0734,89.7224,54,0.54,0.0111,1,0,normal,0
0:01:16,0.3592,20.7024,1.0716,89.5001,54,0.54,-0.009,1,0,normal,0
0:01:17,0.3194,20.8115,1.0559,89.0319,55,0.55,-0.0107,1,0,normal,0
0:01:18,0.3424,21.2765,1.059,88.6793,56,0.56,0.001,1,0,normal,0
0:01:19,0.2974,21.2295,1.0468,88.9995,54,0.54,-0.0047,1,0,normal,0
0:01:20,0.3919,20.9431,1.0593,88.3497,55,0.55,0.0041,1,0,normal,0
0:01:21,0.3661,20.4999,1.0787,89.283,55,0.55,0.0208,1,0,normal,0
0:01:22,0.3277,20.2426,1.0801,89.3636,54,0.54,0.0062,1,0,normal,0
0:01:23,0.392,20.7262,1.0616,89.1075,55,0.55,-0.0145,1,0,normal,0
0:01:24,0.3904,21.0171,1.061,89.3143,57,0.57,-0.0013,1,0,normal,0
0:01:25,0.3891,21.1623,1.0634,89.2311,54,0.54,0.0015,1,0,normal,0
0:01:26,0.3985,21.4714,1.0596,89.3174,52,0.52,-0.0001,1,0,normal,0
0:01:27,0.3395,22.1655,1.0838,89.0023,50,0.5,0.0174,1,0,normal,0
0:01:28,0.3473,22.0647,1.1127,88.2912,48,0.48,0.0271,1,0,normal,0
0:01:29,0.2292,21.9047,1.1021,88.4835,46,0.46,0.0128,1,0,normal,0
0:01:30,0.2805,21.6618,1.1054,89.1625,46,0.46,-0.0058,1,0,normal,0
0:01:31,0.2089,21.6331,1.0927,89.9109,45,0.45,0.0034,1,0,normal,0
0:01:32,0.2198,21.3561,1.0953,88.5919,43,0.43,0.0056,1,0,normal,0
0:01:33,0.2517,21.2498,1.0843,89.0104,44,0.44,-0.0019,1,0,normal,0
0:01:34,0.2499,20.9466,1.107,89.6365,44,0.44,0.0173,1,0,normal,0
0:01:35,0.2765,20.8773,1.1174,89.1043,43,0.43,0.0104,1,0,normal,0
0:01:36,0.2839,20.5606,1.1137,89.074,43,0.43,0.0009,1,0,normal,0
0:01:37,0.3384,20.221,1.0929,88.8443,43,0.43,0.0023,1,0,normal,0
0:01:38,0.3072,19.9461,1.1096,88.9868,45,0.45,0.0128,1,0,normal,0
0:01:39,0.3694,20.1424,1.1263,88.323,45,0.45,0.017,1,0,normal,0
0:01:40,0.4699,20.1314,1.1254,89.4004,44,0.44,0.0072,1,0,normal,0
0:01:41,0.4533,20.1563,1.1412,89.8192,45,0.45,0.0016,1,0,normal,0
0:01:42,0.3921,20.5924,1.1328,90.1147,46,0.46,-0.0094,1,0,normal,0
0:01:43,0.3829,20.3842,1.1471,90.0655,46,0.46,-0.0076,1,0,normal,0
0:01:44,0.4265,20.8342,1.1415,91.4151,45,0.45,-0.0051,1,0,normal,0
0:01:45,0.4268,21.3124,1.1592,90.9872,46,0.46,0.0045,1,0,normal,0
0:01:46,0.3822,21.5753,1.1916,89.6288,48,0.48,0.0147,1,0,normal,0
0:01:47,0.2849,21.6804,1.2081,89.1649,47,0.47,0.0062,1,0,normal,0
0:01:48,0.3295,21.5421,1.1995,88.4394,47,0.47,0.008,1,0,normal,0
0:01:49,0.3482,20.7792,1.1945,88.4672,46,0.46,0.0104,1,0,normal,0
