timestamp,X,Y,Speed,Heading,AgentCount,Density,Acc,LevelOfCrowdness,label,label2,Severity_level
0:05:36,0.4225,19.1176,1.1432,89.1222,81,0.81,-0.0027,1,0,normal,0
0:05:37,0.3704,19.513,1.1476,89.5976,83,0.83,-0.0027,1,0,normal,0
0:05:38,0.3999,19.8316,1.1466,89.4905,86,0.86,-0.0051,1,0,normal,0
0:05:39,0.3787,20.0386,1.1521,89.2123,88,0.88,-0.0009,1,0,normal,0
0:05:40,0.4031,20.4625,1.1499,89.2521,88,0.88,-0.0012,1,0,normal,0
0:05:41,0.4104,20.6724,1.1406,89.5428,90,0.9,-0.0066,1,0,normal,0
0:05:42,0.4054,20.7604,1.1492,89.9155,91,0.91,0.0183,1,0,normal,0
0:05:43,0.3843,20.8616,1.1419,89.7962,90,0.9,-0.0017,1,0,normal,0
0:05:44,0.3603,21.0586,1.1503,88.7938,92,0.92,0.009,1,0,normal,0
0:05:45,0.3448,20.7365,1.1566,88.6091,91,0.91,0.0063,1,0,normal,0
0:05:46,0.3712,20.8257,1.1435,88.3917,90,0.9,-0.0036,1,0,normal,0
0:05:47,0.4543,20.893,1.1202,88.0303,89,0.89,-0.0066,1,0,normal,0
0:05:48,0.4425,20.9571,1.1267,88.3365,86,0.86,0.0106,1,0,normal,0
0:05:49,0.4587,20.8961,1.1278,88.9066,86,0.86,0.0062,1,0,normal,0
0:05:50,0.4576,21.2929,1.1303,88.9831,86,0.86,0.005,1,0,normal,0
0:05:51,0.4247,21.791,1.1329,89.16,87,0.87,0.0063,1,0,normal,0
0:05:52,0.3583,21.9679,1.1274,89.1392,85,0.85,0.0045,1,0,normal,0
0:05:53,0.3654,21.5336,1.1456,89.01,84,0.84,0.0216,1,0,normal,0
0:05:54,0.3674,20.9545,1.1483,89.3064,82,0.82,0.0104,1,0,normal,0
0:05:55,0.3688,20.9422,1.1535,88.8171,81,0.81,0.0084,1,0,normal,0
0:05:56,0.3892,20.568,1.1523,88.8102,81,0.81,0.0048,1,0,normal,0
0:05:57,0.3401,20.4463,1.1595,88.9378,81,0.81,0.0098,1,0,normal,0
0:05:58,0.3544,20.3336,1.1632,89.2561,83,0.83,0.0094,1,0,normal,0
0:05:59,0.3857,20.2172,1.1629,89.3949,81,0.81,0.001,1,0,normal,0
0:06:00,0.3755,20.457,1.1562,88.7305,80,0.8,-0.0019,1,0,normal,0
0:06:01,0.3404,20.214,1.1583,88.9206,81,0.81,0.0072,1,0,normal,0
0:06:02,0.3531,20.2203,1.1533,89.3349,82,0.82,-0.006,1,0,normal,0
0:06:03,0.3243,20.2349,1.1393,89.2539,83,0.83,-0.0121,1,0,normal,0
0:06:04,0.334,20.3777,1.1404,89.1778,83,0.83,-0.0007,1,0,normal,0
0:06:05,0.3381,20.5024,1.132,88.8103,83,0.83,-0.0037,1,0,normal,0
0:06:06,0.3611,20.3833,1.1377,88.6948,81,0.81,0.0115,1,0,normal,0
0:06:07,0.3718,20.4072,1.156,88.8919,82,0.82,0.0229,1,0,normal,0
0:06:08,0.4195,20.9165,1.1497,89.3102,81,0.81,-0.002,1,0,normal,0
0:06:09,0.3722,20.8128,1.1501,89.0039,83,0.83,-0.0046,1,0,normal,0
0:06:10,0.4094,20.7328,1.1681,88.772,83,0.83,0.0073,1,0,normal,0
0:06:11,0.3941,20.8979,1.1671,89.21,85,0.85,0.0047,1,0,normal,0
0:06:12,0.3887,21.0767,1.1729,89.0685,85,0.85,0.0038,1,0,normal,0
0:06:13,0.3937,21.1302,1.1521,88.9538,84,0.84,-0.0106,1,0,normal,0
0:06:14,0.4306,21.516,1.145,88.9171,84,0.84,-0.0042,1,0,normal,0
0:06:15,0.4282,21.3204,1.1597,89.116,81,0.81,0.009,1,0,normal,0
0:06:16,0.4096,21.4441,1.1594,89.5339,79,0.79,0.0099,1,0,normal,0
0:06:17,0.4249,21.6808,1.1567,89.8831,76,0.76,0.0075,1,0,normal,0
0:06:18,0.3704,21.6008,1.1462,90.0844,75,0.75,0.0031,1,0,normal,0
0:06:19,0.3237,21.3666,1.1507,90.6994,73,0.73,0.0096,1,0,normal,0
0:06:20,0.3213,21.0803,1.1425,89.7381,73,0.73,0.0017,1,0,normal,0
0:06:21,0.3277,20.645,1.1348,89.3964,72,0.72,-0.0006,1,0,normal,0
0:06:22,0.2954,20.346,1.134,88.6288,72,0.72,0.009,1,0,normal,0
0:06:23,0.3154,20.4786,1.1281,88.4174,73,0.73,0.0016,1,0,normal,0
0:06:24,0.2978,20.3712,1.1339,88.3671,76,0.76,0.0072,1,0,normal,0
0:06:25,0.3765,20.1436,1.1458,88.3925,76,0.76,0.01,1,0,normal,0
0:06:26,0.3879,19.8063,1.1524,88.2591,77,0.77,0.0116,1,0,normal,0
0:06:27,0.4136,19.6966,1.1323,88.7489,76,0.76,-0.0051,1,0,normal,0
0:06:28,0.4074,19.7449,1.137,88.7516,78,0.78,0.0105,1,0,normal,0
0:06:29,0.3634,19.8921,1.1306,89.088,75,0.75,0.0056,1,0,normal,0
0:06:30,0.3159,20.1357,1.1369,89.1868,80,0.8,0.0045,1,0,normal,0
0:06:31,0.3339,19.869,1.1329,88.7566,81,0.81,-0.0068,1,0,normal,0
0:06:32,0.3282,20.2302,1.1276,89.0247,83,0.83,-0.0071,1,0,normal,0
0:06:33,0.3245,20.3439,1.1119,88.8485,83,0.83,-0.0151,1,0,normal,0
0:06:34,0.3428,20.2364,1.1017,89.3365,85,0.85,-0.0078,1,0,normal,0
0:06:35,0.3628,20.5788,1.1087,89.5262,85,0.85,0.008,1,0,normal,0
0:06:36,0.3408,20.5027,1.118,89.5637,87,0.87,0.0168,1,0,normal,0
0:06:37,0.3682,20.5535,1.1221,89.7194,88,0.88,-0.0009,1,0,normal,0
0:06:38,0.3761,20.4803,1.1051,89.242,88,0.88,-0.0148,1,0,normal,0
0:06:39,0.3852,20.1646,1.0955,88.5647,88,0.88,-0.0053,1,0,normal,0
0:06:40,0.3987,20.4141,1.1025,89.1626,87,0.87,0.0109,1,0,normal,0
0:06:41,0.4177,20.5892,1.1227,90.1258,91,0.91,0.0206,1,0,normal,0
0:06:42,0.4327,20.6665,1.1156,90.1251,88,0.88,0.0038,1,0,normal,0
0:06:43,0.4115,20.5184,1.129,89.7361,91,0.91,0.008,1,0,normal,0
0:06:44,0.3905,20.3672,1.135,89.3519,90,0.9,0.0091,1,0,normal,0
0:06:45,0.3367,20.1083,1.1433,89.5984,88,0.88,0.0149,1,0,normal,0
0:06:46,0.3521,20.4149,1.138,89.4863,89,0.89,-0.0018,1,0,normal,0
0:06:47,0.3321,20.3829,1.1195,89.1879,89,0.89,-0.0101,1,0,normal,0
0:06:48,0.3168,20.6796,1.1281,88.6557,90,0.9,0.007,1,0,normal,0
0:06:49,0.3516,20.327,1.1264,88.5327,91,0.91,0.0057,1,0,normal,0
0:06:50,0.3767,20.4158,1.1256,89.3023,92,0.92,0.0008,1,0,normal,0
0:06:51,0.3846,20.4009,1.1182,90.2655,92,0.92,-0.0033,1,0,normal,0
0:06:52,0.3395,20.2922,1.1202,90.3031,93,0.93,0.0026,1,0,normal,0
0:06:53,0.3325,20.522,1.1231,89.8581,95,0.95,0.0029,1,0,normal,0
0:06:54,0.3404,20.4677,1.1298,89.582,96,0.96,0.0016,1,0,normal,0
0:06:55,0.3527,20.5298,1.1425,89.5002,98,0.98,0.0048,1,0,normal,0
0:06:56,0.3379,20.6829,1.1413,89.4959,97,0.97,0.0039,1,0,normal,0
0:06:57,0.3342,20.6535,1.1452,89.7251,96,0.96,0.0091,1,0,normal,0
0:06:58,0.3135,20.6215,1.1431,90.2397,97,0.97,-0.0078,1,0,normal,0
0:06:59,0.3176,20.6842,1.1392,89.3276,99,0.99,-0.0028,1,0,normal,0
0:07:00,0.3197,20.4573,1.162,89.2735,96,0.96,0.0161,1,0,normal,0
0:07:01,0.3485,20.8447,1.1617,89.0048,95,0.95,0.0065,1,0,normal,0
0:07:02,0.317,20.9302,1.1583,88.6064,97,0.97,-0.0046,1,0,normal,0
0:07:03,0.3414,21.1259,1.1682,88.1923,98,0.98,0.004,1,0,normal,0
0:07:04,0.37,21.1405,1.1848,88.7792,95,0.95,0.0163,1,0,normal,0
0:07:05,0.3939,21.1265,1.1879,89.0631,96,0.96,0.004,1,0,normal,0
0:07:06,0.3923,21.2285,1.197,89.4787,96,0.96,0.0046,1,0,normal,0
0:07:07,0.4117,21.2346,1.1941,89.1954,91,0.91,-0.0008,1,0,normal,0
0:07:08,0.3891,20.9634,1.1922,88.9544,92,0.92,0.0014,1,0,normal,0
0:07:09,0.3711,21.2328,1.1988,89.4808,90,0.9,0.0095,1,0,normal,0
0:07:10,0.368,21.1666,1.1955,89.2455,87,0.87,0.0044,1,0,normal,0
0:07:11,0.3773,21.2718,1.1845,88.6132,88,0.88,0.0,1,0,normal,0
0:07:12,0.3426,21.1434,1.1845,88.9866,87,0.87,0.0006,1,0,normal,0
0:07:13,0.3423,20.9994,1.18,88.5182,86,0.86,0.001,1,0,normal,0
0:07:14,0.3869,20.9563,1.1738,88.2064,84,0.84,0.0026,1,0,normal,0
0:07:15,0.4241,20.8975,1.1784,88.3423,84,0.84,0.0109,1,0,normal,0
0:07:16,0.4115,20.7213,1.1872,88.5962,81,0.81,0.0095,1,0,normal,0
0:07:17,0.4054,20.624,1.1839,88.8113,81,0.81,0.0051,1,0,normal,0
0:07:18,0.4269,20.6411,1.1674,89.3182,80,0.8,-0.0035,1,0,normal,0
0:07:19,0.4049,20.6629,1.1743,89.8007,81,0.81,0.0016,1,0,normal,0
0:07:20,0.393,20.7986,1.1641,89.6672,81,0.81,-0.0016,1,0,normal,0
0:07:21,0.3892,20.5487,1.1652,89.3654,80,0.8,0.0071,1,0,normal,0
0:07:22,0.4193,20.6488,1.1674,89.4477,78,0.78,0.0086,1,0,normal,0
0:07:23,0.4213,20.2613,1.1699,90.2471,78,0.78,0.0119,1,0,normal,0
0:07:24,0.3794,20.3892,1.1703,90.3863,80,0.8,0.0071,1,0,normal,0
0:07:25,0.3652,20.1702,1.1666,89.6955,83,0.83,-0.0057,1,0,normal,0
0:07:26,0.332,20.4414,1.1596,88.9962,82,0.82,-0.0055,1,0,normal,0
0:07:27,0.3436,20.7223,1.1656,88.9612,83,0.83,0.0038,1,0,normal,0
0:07:28,0.3939,20.882,1.1631,89.3655,83,0.83,0.0024,1,0,normal,0
0:07:29,0.376,21.03,1.1676,89.8942,85,0.85,0.0111,1,0,normal,0
0:07:30,0.377,20.8618,1.1691,89.7226,84,0.84,-0.001,1,0,normal,0
0:07:31,0.3648,21.0316,1.1649,89.3685,84,0.84,-0.0063,1,0,normal,0
0:07:32,0.399,20.6228,1.1643,88.6218,85,0.85,0.0042,1,0,normal,0
0:07:33,0.3685,20.554,1.1702,88.5683,83,0.83,0.0168,1,0,normal,0
0:07:34,0.3782,20.3636,1.1625,88.5424,84,0.84,0.0057,1,0,normal,0
0:07:35,0.3677,20.5181,1.1466,88.6494,82,0.82,-0.0109,1,0,normal,0
0:07:36,0.3375,20.5447,1.1456,88.7724,83,0.83,-0.0026,1,0,normal,0
0:07:37,0.406,20.5887,1.1721,89.0817,84,0.84,0.0188,1,0,normal,0
0:07:38,0.3684,20.2836,1.1734,88.8902,84,0.84,0.0036,1,0,normal,0
0:07:39,0.3756,20.4415,1.1663,89.4059,84,0.84,0.0,1,0,normal,0
0:07:40,0.3477,20.3643,1.1551,89.2721,84,0.84,-0.0018,1,0,normal,0
0:07:41,0.3541,20.2842,1.1423,88.9106,84,0.84,-0.0105,1,0,normal,0
0:07:42,0.4126,20.2278,1.1296,88.6502,88,0.88,-0.0031,1,0,normal,0
0:07:43,0.3904,20.2861,1.1276,88.3453,89,0.89,0.0029,1,0,normal,0
0:07:44,0.3815,20.4892,1.1254,88.482,91,0.91,0.003,1,0,normal,0
0:07:45,0.4102,20.5905,1.1455,88.7436,92,0.92,0.0185,1,0,normal,0
0:07:46,0.4381,20.3648,1.1452,89.4917,92,0.92,0.0137,1,0,normal,0
0:07:47,0.3986,20.1427,1.1295,89.7001,92,0.92,-0.0058,1,0,normal,0
0:07:48,0.4003,20.1285,1.1382,89.0677,92,0.92,0.0052,1,0,normal,0
0:07:49,0.4151,20.0211,1.13,89.0368,93,0.93,-0.0015,1,0,normal,0
0:07:50,0.4361,20.097,1.112,88.5603,90,0.9,-0.0064,1,0,normal,0
0:07:51,0.4225,19.9544,1.1038,89.356,91,0.91,-0.0005,1,0,normal,0
0:07:52,0.4234,20.0448,1.0983,89.5947,94,0.94,0.0026,1,0,normal,0
0:07:53,0.4236,20.3608,1.0995,89.0359,95,0.95,0.0003,1,0,normal,0
0:07:54,0.3696,20.382,1.1028,89.0049,97,0.97,0.0079,1,0,normal,0
0:07:55,0.324,20.3253,1.1002,89.6575,98,0.98,0.0078,1,0,normal,0
0:07:56,0.3377,20.5815,1.1139,89.4883,98,0.98,0.0133,1,0,normal,0
0:07:57,0.3432,20.5516,1.1282,89.6018,101,1.01,0.0117,1,0,normal,0
0:07:58,0.3485,20.5143,1.113,89.7273,98,0.98,-0.0022,1,0,normal,0
0:07:59,0.3473,20.8777,1.1183,89.8778,97,0.97,0.0096,1,0,normal,0
0:08:00,0.3559,20.9364,1.1096,88.895,99,0.99,-0.0006,1,0,normal,0
0:08:01,0.357,21.0972,1.1058,88.6161,102,1.02,-0.0008,1,0,normal,0
0:08:02,0.3686,21.3601,1.104,88.1548,104,1.04,0.0002,1,0,normal,0
0:08:03,0.3819,21.2652,1.1281,88.6503,104,1.04,0.0216,1,0,normal,0
0:08:04,0.3947,21.0966,1.1504,89.0144,101,1.01,0.0212,1,0,normal,0
0:08:05,0.4133,20.8028,1.1521,89.0818,97,0.97,0.0092,1,0,normal,0
