timestamp,X,Y,Speed,Heading,AgentCount,Density,Acc,LevelOfCrowdness,label,label2,Severity_level
0:00:13,1.8042,11.1627,1.5446,91.7717,1,0.01,-0.0468,1,0,normal,0
0:00:14,1.7676,12.1003,1.5678,92.3173,1,0.01,0.0232,1,0,normal,0
0:00:15,0.4394,12.5729,1.5067,92.8846,2,0.02,,1,0,normal,0
0:00:16,0.3898,14.0071,1.5084,91.2908,2,0.02,0.0017,1,0,normal,0
0:00:17,0.6116,14.1408,1.514,89.0129,3,0.03,0.0026,1,0,normal,0
0:00:18,0.0553,14.5388,1.4696,89.8896,4,0.04,-0.0011,1,0,normal,0
0:00:19,0.0384,15.111,1.4644,88.8773,5,0.05,-0.0002,1,0,normal,0
0:00:20,0.3137,15.7086,1.4336,88.4509,6,0.06,-0.0011,1,0,normal,0
0:00:21,0.5774,16.2757,1.4125,89.4045,7,0.07,0.0014,1,0,normal,0
0:00:22,0.6,16.239,1.4521,90.6531,9,0.09,0.0033,1,0,normal,0
0:00:23,0.7257,16.4256,1.4208,89.4937,11,0.11,-0.0034,1,0,normal,0
0:00:24,0.4584,16.7774,1.3869,90.3669,13,0.13,-0.007,1,0,normal,0
0:00:25,0.5652,16.841,1.391,90.4042,16,0.16,-0.0005,1,0,normal,0
0:00:26,0.4239,17.6945,1.3595,90.417,17,0.17,-0.0034,1,0,normal,0
0:00:27,0.3461,17.1114,1.3117,89.7843,19,0.19,-0.0126,1,0,normal,0
0:00:28,0.3096,17.6765,1.2963,88.8521,21,0.21,-0.01,1,0,normal,0
0:00:29,0.343,18.314,1.2821,88.7524,20,0.2,-0.0074,1,0,normal,0
0:00:30,0.3454,18.1559,1.2588,88.416,24,0.24,0.0003,1,0,normal,0
0:00:31,0.3397,18.8338,1.2549,88.6906,23,0.23,0.0067,1,0,normal,0
0:00:32,0.4329,19.6849,1.2402,89.5246,24,0.24,-0.0037,1,0,normal,0
0:00:33,0.2958,19.0355,1.2065,90.4206,27,0.27,-0.0084,1,0,normal,0
0:00:34,0.3768,18.8457,1.1817,88.955,29,0.29,-0.0166,1,0,normal,0
0:00:35,0.3985,18.7443,1.1468,88.7743,31,0.31,-0.005,1,0,normal,0
0:00:36,0.3439,18.9361,1.1432,88.2412,32,0.32,0.0021,1,0,normal,0
0:00:37,0.3061,19.0208,1.1291,87.2915,31,0.31,-0.0081,1,0,normal,0
0:00:38,0.3304,19.3764,1.1325,87.3375,29,0.29,0.0031,1,0,normal,0
0:00:39,0.3036,20.1817,1.1381,88.0484,30,0.3,-0.003,1,0,normal,0
0:00:40,0.218,20.6072,1.1308,89.0751,30,0.3,-0.006,1,0,normal,0
0:00:41,0.2712,20.9999,1.0982,89.2512,28,0.28,-0.0157,1,0,normal,0
0:00:42,0.2844,21.3444,1.0909,89.0992,28,0.28,0.0012,1,0,normal,0
0:00:43,0.2576,20.9545,1.0907,88.5359,28,0.28,0.004,1,0,normal,0
0:00:44,0.1366,20.5989,1.0899,88.0873,28,0.28,0.0062,1,0,normal,0
0:00:45,0.2039,21.2833,1.0903,87.9283,29,0.29,0.005,1,0,normal,0
0:00:46,0.2202,20.6792,1.0917,88.5623,32,0.32,0.0045,1,0,normal,0
0:00:47,0.2277,20.8081,1.0971,88.7154,35,0.35,0.0076,1,0,normal,0
0:00:48,0.213,19.5902,1.1161,87.3938,35,0.35,0.0063,1,0,normal,0
0:00:49,0.274,20.3488,1.1104,87.3687,34,0.34,-0.0005,1,0,normal,0
0:00:50,0.2663,20.0927,1.113,87.8362,37,0.37,-0.0008,1,0,normal,0
0:00:51,0.2399,20.3681,1.1114,88.4884,38,0.38,-0.0011,1,0,normal,0
0:00:52,0.2315,20.3165,1.1036,89.2232,36,0.36,-0.0065,1,0,normal,0
0:00:53,0.1972,20.2148,1.0974,89.4632,34,0.34,0.0007,1,0,normal,0
0:00:54,0.246,20.1321,1.1192,89.0493,34,0.34,0.0131,1,0,normal,0
0:00:55,0.2322,19.7807,1.1179,88.1514,35,0.35,0.008,1,0,normal,0
0:00:56,0.2001,19.718,1.1269,88.5064,35,0.35,0.0033,1,0,normal,0
0:00:57,0.2416,19.9285,1.1273,89.205,34,0.34,-0.0021,1,0,normal,0
0:00:58,0.3631,20.1796,1.1071,89.1428,35,0.35,-0.0161,1,0,normal,0
0:00:59,0.3807,20.4223,1.0892,88.9674,36,0.36,-0.012,1,0,normal,0
0:01:00,0.3646,21.1854,1.097,89.0587,35,0.35,0.0016,1,0,normal,0
0:01:01,0.4311,20.5628,1.0831,88.523,37,0.37,0.0048,1,0,normal,0
0:01:02,0.3178,20.8207,1.0878,88.7725,38,0.38,-0.0008,1,0,normal,0
0:01:03,0.3846,20.8309,1.0991,89.2596,40,0.4,0.0036,1,0,normal,0
0:01:04,0.3177,20.8535,1.0786,90.2939,40,0.4,-0.0042,1,0,normal,0
0:01:05,0.374,20.8761,1.0469,90.714,40,0.4,-0.0156,1,0,normal,0
0:01:06,0.3919,20.8998,1.0619,90.4555,42,0.42,0.0075,1,0,normal,0
0:01:07,0.4205,20.6921,1.0688,89.8773,39,0.39,0.0002,1,0,normal,0
0:01:08,0.4363,20.4104,1.0826,90.3817,38,0.38,0.0121,1,0,normal,0
0:01:09,0.4311,20.6053,1.0932,89.9941,35,0.35,0.0188,1,0,normal,0
0:01:10,0.4112,20.5322,1.1,90.4544,35,0.35,0.0113,1,0,normal,0
0:01:11,0.3854,20.7456,1.1084,89.7688,36,0.36,0.0026,1,0,normal,0
0:01:12,0.4115,20.9671,1.0887,89.4629,35,0.35,-0.0046,1,0,normal,0
0:01:13,0.4254,20.6287,1.0857,90.3381,36,0.36,-0.0013,1,0,normal,0
0:01:14,0.3694,20.6189,1.0893,89.4495,38,0.38,-0.0009,1,0,normal,0
0:01:15,0.3737,20.8691,1.0871,88.9578,39,0.39,-0.0042,1,0,normal,0
