timestamp,X,Y,Speed,Heading,AgentCount,Density,Acc,LevelOfCrowdness,label,label2,Severity_level
0:23:22,0.35,20.3648,0.7093,89.6483,207,2.07,0.0121,3,0,normal,0
0:23:23,0.3454,20.5424,0.7105,90.4772,207,2.07,0.0106,3,0,normal,0
0:23:24,0.3712,20.2978,0.7197,90.6744,202,2.02,0.0212,3,0,normal,0
0:23:25,0.361,20.3376,0.7049,90.8407,201,2.01,-0.0067,3,0,normal,0
0:23:26,0.3501,20.5033,0.6813,89.7928,203,2.03,-0.0175,3,0,normal,0
0:23:27,0.3474,20.4175,0.6702,88.896,206,2.06,-0.0042,3,0,normal,0
0:23:28,0.3155,20.6228,0.692,89.44,203,2.03,0.0274,3,0,normal,0
0:23:29,0.3423,20.5034,0.7042,89.8948,205,2.05,0.0187,3,0,normal,0
0:23:30,0.3207,20.6758,0.6956,89.39,201,2.01,-0.0011,3,0,normal,0
0:23:31,0.3403,20.7781,0.6804,88.4438,202,2.02,-0.0055,3,0,normal,0
0:23:32,0.3217,20.6488,0.6975,88.7266,202,2.02,0.028,3,0,normal,0
0:23:33,0.317,20.6747,0.7076,88.378,205,2.05,0.02,3,0,normal,0
0:23:34,0.3122,20.6505,0.7002,88.8033,199,1.99,-0.0003,2,0,normal,0
0:23:35,0.3383,20.5113,0.7085,89.8617,197,1.97,0.0238,2,0,normal,0
0:23:36,0.3247,20.4667,0.7029,89.5853,193,1.93,0.0113,2,0,normal,0
0:23:37,0.3176,20.4071,0.695,89.8202,193,1.93,0.0075,2,0,normal,0
0:23:38,0.3033,20.4443,0.6862,88.7603,195,1.95,0.0064,2,0,normal,0
0:23:39,0.3056,20.4873,0.6943,88.9417,197,1.97,0.0171,2,0,normal,0
0:23:40,0.3211,20.4255,0.6868,88.1507,195,1.95,0.0048,2,0,normal,0
0:23:41,0.3313,20.3595,0.6757,88.7221,197,1.97,-0.0102,2,0,normal,0
0:23:42,0.3569,20.3778,0.652,89.0194,197,1.97,-0.0358,2,0,normal,0
0:23:43,0.3288,20.3426,0.6413,89.2189,200,2.0,-0.0106,2,0,normal,0
0:23:44,0.3349,20.1992,0.6541,89.2338,199,1.99,0.0096,2,0,normal,0
0:23:45,0.32,20.2403,0.6794,89.5038,201,2.01,0.0229,3,0,normal,0
0:23:46,0.3116,20.0299,0.687,89.7856,198,1.98,0.0057,2,0,normal,0
0:23:47,0.329,20.0021,0.6703,88.9796,195,1.95,-0.002,2,0,normal,0
0:23:48,0.3242,20.0354,0.6823,89.4002,195,1.95,0.0203,2,0,normal,0
0:23:49,0.3106,19.8705,0.6936,89.1293,195,1.95,0.0066,2,0,normal,0
0:23:50,0.3314,19.8387,0.6985,87.8177,192,1.92,0.0095,2,0,normal,0
0:23:51,0.3555,19.6534,0.6981,88.5051,190,1.9,0.0201,2,0,normal,0
0:23:52,0.3251,19.6169,0.6732,89.538,191,1.91,-0.0049,2,0,normal,0
0:23:53,0.3237,19.5461,0.651,90.6718,188,1.88,-0.0086,2,0,normal,0
0:23:54,0.3146,19.575,0.633,90.2817,189,1.89,-0.0162,2,0,normal,0
0:23:55,0.3089,19.5441,0.6307,89.1235,189,1.89,0.017,2,0,normal,0
0:23:56,0.3222,19.6342,0.6423,88.992,191,1.91,0.0167,2,0,normal,0
0:23:57,0.3091,19.6931,0.6544,89.2852,194,1.94,0.0213,2,0,normal,0
0:23:58,0.3224,19.7025,0.6404,89.3976,196,1.96,-0.0011,2,0,normal,0
0:23:59,0.3178,19.5976,0.6136,89.5959,198,1.98,-0.0053,2,0,normal,0
0:24:00,0.3095,19.6988,0.6382,88.6115,200,2.0,0.0265,2,0,normal,0
0:24:01,0.2982,19.7516,0.6395,88.613,199,1.99,0.0133,2,0,normal,0
0:24:02,0.3088,19.7524,0.6213,88.2815,199,1.99,0.003,2,0,normal,0
0:24:03,0.2954,19.9683,0.6282,87.8964,203,2.03,0.0142,3,0,normal,0
0:24:04,0.3078,20.007,0.629,88.6159,207,2.07,0.0091,3,0,normal,0
0:24:05,0.306,20.0257,0.6069,88.9189,211,2.11,-0.0203,3,0,normal,0
0:24:06,0.3117,19.9568,0.6388,88.892,209,2.09,0.039,3,0,normal,0
0:24:07,0.3073,19.9667,0.6468,89.5146,212,2.12,0.0154,3,0,normal,0
0:24:08,0.3157,19.9685,0.642,89.044,213,2.13,-0.0018,3,0,normal,0
0:24:09,0.3193,20.0597,0.6437,88.6955,212,2.12,-0.2477,3,0,normal,0
0:24:10,0.3321,20.0705,0.6502,88.7206,213,2.13,-0.0048,3,0,normal,0
