Speed,Heading,AgentCount,Acc,Label
1.1823,88.7074,82,0.0172,0
1.1821,89.7128,79,0.0088,0
1.182,89.5862,80,-0.0071,0
1.182,88.8254,88,0.0058,0
1.182,89.0874,94,0.0107,0
1.182,90.1456,84,0.0186,0
1.1819,88.8372,115,0.0091,0
1.1817,88.955,29,-0.0166,0
1.1816,88.4746,80,0.0113,0
1.1815,90.0525,97,0.0072,0
1.1815,89.4081,89,0.0078,0
1.1812,89.7632,116,0.0106,0
1.1811,89.4569,113,-0.0032,0
1.1811,88.545,79,0.0077,0
1.1809,89.0378,112,0.0018,0
1.1808,88.7787,108,0.0089,0
1.1807,89.5985,109,0.011,0
1.1806,88.579,113,0.0037,0
1.1805,88.6398,84,0.0069,0
1.1804,88.6207,99,0.0138,0
1.1803,88.6369,116,-0.0076,0
1.1803,89.8002,108,0,0
1.18,88.5182,86,0.001,0
1.1799,88.3321,116,0.0012,0
1.1799,88.7044,116,0.0108,0
1.1798,89.2415,80,-0.0058,0
1.1796,89.746,91,0.0019,0
1.1796,88.7305,46,0.0127,0
1.1794,89.2301,108,0.0046,0
1.1793,88.4074,81,0.0069,0
1.1793,89.4071,51,0.0156,0
1.1793,89.4442,117,0.0172,0
1.1792,88.6695,97,0.0006,0
1.1792,89.0598,96,0.0107,0
1.1791,88.9774,93,0.0002,0
1.179,89.7655,108,0.0087,0
1.1788,89.5939,112,0.0099,0
1.1787,88.9449,90,0.0003,0
1.1786,87.3041,49,-0.0068,0
1.1784,88.3423,84,0.0109,0
1.1783,88.1049,24,0.0025,0
1.1781,89.3288,93,0.0046,0
1.1779,88.4221,45,0.0037,0
1.1778,89.055,108,0.0208,0
1.1777,88.9631,75,-0.0014,0
1.1775,89.0451,46,-0.0031,0
1.1775,89.3719,112,0.0149,0
1.1772,90.8354,45,0.0039,0
1.1772,88.5485,38,0.0103,0
1.1771,88.781,113,0.004,0
1.177,89.1352,82,0.0016,0
1.177,90.2822,42,0.0218,0
1.1768,89.5459,96,0.0146,0
1.1768,89.5067,49,0.0192,0
1.1767,88.9951,82,-0.0003,0
1.1765,88.9955,35,-0.0032,0
1.1765,89.7271,109,0.011,0
1.1764,88.7673,36,0.0129,0
1.1763,89.8135,115,0.0013,0
1.1762,89.3388,118,0.0123,0
1.1762,88.5893,109,0.0137,0
1.1761,88.5845,98,0.0039,0
1.1761,89.165,113,0.0071,0
1.1761,89.288,46,0.0153,0
1.176,89.8194,78,-0.0026,0
1.1759,89.1437,110,0.0028,0
1.1758,88.9288,134,0.0107,0
1.1758,89.4202,134,0.0131,0
1.1757,88.0764,115,-0.0078,0
1.1756,88.9072,78,0.0103,0
1.1755,89.161,75,0.0021,0
1.1754,89.871,34,-0.0002,0
1.1754,89.5901,110,0.0049,0
1.1754,89.3933,105,0.0142,0
1.1754,89.5912,115,0.03,0
1.1753,89.0977,83,-0.0017,0
1.1753,89.2887,109,0.0165,0
1.1752,88.6538,78,0.0286,0
1.175,89.093,80,-0.0022,0
1.175,88.4792,113,0.0134,0
1.1748,88.7449,114,0.0146,0
1.1748,89.1941,116,0.02,0
1.1747,89.386,135,-0.0187,0
1.1746,89.4575,103,0.0109,0
1.1745,89.9939,112,0.0142,0
1.1744,89.474,41,-0.0023,0
1.1743,88.5525,113,-0.0033,0
1.1743,89.8007,81,0.0016,0
1.1742,89.1595,113,-0.003,0
1.1742,88.6643,52,0.0091,0
1.174,89.3276,84,-0.0004,0
1.1739,89.247,34,-0.0054,0
1.1739,89.3094,132,0.0208,0
1.1738,88.5543,82,-0.0028,0
1.1738,89.6314,111,0.0007,0
1.1738,88.2064,84,0.0026,0
1.1737,89.3459,115,0.0004,0
1.1736,89.0246,49,0.0166,0
1.1735,89.8931,82,-0.004,0
1.1735,88.272,116,0.0087,0
1.1734,88.8902,84,0.0036,0
1.1734,89.5999,114,0.0056,0
1.1734,89.3973,135,0.0202,0
1.1733,89.1543,114,0.0149,0
1.1732,89.5018,113,-0.0052,0
1.1732,89.2198,116,0.0042,0
1.1732,90.4065,111,0.0101,0
1.1732,88.7501,118,0.0148,0
1.1729,88.9163,112,-0.0038,0
1.1729,89.0685,85,0.0038,0
1.1728,89.2528,112,0.0012,0
1.1728,88.6799,96,0.0053,0
1.1725,89.5146,111,-0.0112,0
1.1725,88.7803,82,0.0129,0
1.1723,89.2449,42,0.0103,0
1.1722,89.5596,113,-0.0034,0
1.1721,90.2677,45,-0.0003,0
1.1721,89.0817,84,0.0188,0
1.172,90.1984,85,-0.0015,0
1.172,88.766,47,-0.0009,0
1.1718,88.4697,115,0.0017,0
1.1718,89.7819,96,0.017,0
1.1718,89.4196,110,0.0185,0
1.1717,88.8971,114,0.0049,0
1.1716,90.0617,111,-0.0018,0
1.1715,88.4302,94,-0.0031,0
1.1715,88.9462,76,0.0039,0
1.1715,89.0646,116,0.0054,0
1.1714,89.1865,112,-0.0061,0
1.1714,88.7403,113,-0.0044,0
1.1712,89.6674,112,0.0198,0
1.1711,88.6236,43,0.0296,0
1.171,89.5114,48,0.0025,0
1.1709,89.1648,42,0.0133,0
1.1706,88.57,113,0.0227,0
1.1704,89.3864,79,-0.0183,0
1.1703,90.3863,80,0.0071,0
1.1702,88.769,79,0.0035,0
1.1702,88.5683,83,0.0168,0
1.1701,89.925,35,-0.0006,0
1.1701,88.3419,116,0.0188,0
1.17,90.0281,84,-0.0004,0
1.1699,90.2471,78,0.0119,0
1.1698,89.8888,80,0.0057,0
1.1697,89.1926,80,-0.0065,0
1.1696,89.3481,138,-0.0018,0
1.1696,89.0162,85,0.0139,0
1.1695,88.3203,45,0.0014,0
1.1695,88.77,137,0.0021,0
1.1694,89.7403,107,-0.0039,0
1.1694,88.7628,129,0.0008,0
1.1694,89.7699,115,0.0058,0
1.1693,89.0261,136,-0.1271,0
1.1693,89.0045,36,0.0155,0
1.1693,89.9317,110,0.0186,0
1.1692,89.3448,115,0.0008,0
1.1692,89.7701,110,0.0055,0
1.1692,89.9472,109,0.0096,0
1.1691,89.7226,84,-0.001,0
1.1688,90.8738,52,-0.0077,0
1.1688,88.7951,132,0.0117,0
1.1686,89.7378,112,-0.0083,0
1.1685,89.0773,111,0.0091,0
1.1684,90.4889,115,0.0127,0
1.1683,88.23,107,0.0002,0
1.1683,89.3068,117,0.0175,0
1.1682,88.1923,98,0.004,0
1.1682,89.2458,105,0.0057,0
1.1681,88.9723,115,0.0008,0
1.1681,88.772,83,0.0073,0
1.168,88.9106,44,0.0092,0
1.1678,89.225,82,-0.0066,0
1.1678,89.3454,111,-0.0041,0
1.1678,89.0733,145,0.005,0
1.1677,89.6857,112,-0.001,0
1.1677,88.9143,117,0.0071,0
1.1676,89.8942,85,0.0111,0
1.1675,89.0842,111,0.0028,0
1.1675,88.259,108,0.0128,0
1.1674,89.3182,80,-0.0035,0
1.1674,89.0185,138,0.0015,0
1.1674,88.5233,137,0.0071,0
1.1674,89.4477,78,0.0086,0
1.1674,89.3411,89,0.0176,0
1.1673,88.8427,82,0.0022,0
1.1673,88.8133,108,0.0023,0
1.1671,89.21,85,0.0047,0
1.1671,89.1764,114,0.0162,0
1.1669,88.8115,114,0.012,0
1.1668,90.0026,138,-0.0217,0
1.1668,89.0061,112,0.0049,0
1.1667,88.8655,132,0.0082,0
1.1666,89.6955,83,-0.0057,0
1.1666,88.8861,109,0.0046,0
1.1664,89.8481,88,-0.0111,0
1.1664,89.167,100,-0.0037,0
1.1664,88.3988,110,-0.0019,0
1.1664,89.1849,144,0.022,0
1.1663,89.4059,84,0,0
1.1663,88.6147,81,0.0012,0
1.166,88.5733,118,-0.0084,0
1.166,89.1414,137,0.0269,0
1.1659,89.2277,94,0.0034,0
1.1656,88.9612,83,0.0038,0
1.1655,89.7994,139,0.0095,0
1.1653,89.3224,128,-0.0067,0
1.1653,89.966,109,-0.0027,0
